FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech
petrol,Maruti,800,2599.0,2399.0,3399.0,2199.0
petrol,Maruti,Alto,2599.0,2399.0,3899.0,2299.0
petrol,Maruti,Alto K10,2599.0,2399.0,3499.0,2299.0
petrol,Maruti,A-Star,2699.0,2599.0,4099.0,2199.0
petrol,Maruti,Baleno,2999.0,2799.0,4999.0,2599.0
petrol,Maruti,Celerio,2799.0,2699.0,4499.0,2299.0
petrol,Maruti,Ciaz,3699.0,3499.0,4999.0,2499.0
petrol,Maruti,Eeco,3099.0,2899.0,4299.0,2499.0
petrol,Maruti,Esteem,3099.0,2999.0,4099.0,2499.0
petrol,Maruti,Ertiga,3399.0,3199.0,4299.0,2499.0
petrol,Maruti,Estilo,2999.0,2799.0,4099.0,2399.0
petrol,Maruti,Grand Vitara,4199.0,3899.0,5599.0,2599.0
petrol,Maruti,Gypsy,3899.0,3699.0,5499.0,2499.0
petrol,Maruti,Kizashi,4999.0,4699.0,6299.0,2599.0
petrol,Maruti,Omni,2699.0,2499.0,3899.0,2399.0
petrol,Maruti,Ritz,2699.0,2599.0,4299.0,2199.0
petrol,Maruti,S-Cross,3199.0,2999.0,4599.0,2499.0
petrol,Maruti,Swift,2999.0,2799.0,4599.0,2499.0
petrol,Maruti,Swift Dzire,2999.0,2799.0,4599.0,2499.0
petrol,Maruti,SX4,3799.0,3599.0,4999.0,2499.0
petrol,Maruti,WagonR,2699.0,2499.0,3899.0,2299.0
petrol,Maruti,Zen,2699.0,2599.0,4299.0,2199.0
petrol,Maruti,Vitara Brezza,3699.0,3499.0,4999.0,2699.0
petrol,Maruti,Ignis,2999.0,2799.0,4099.0,2499.0
petrol,Maruti,S-Presso,3299.0,3099.0,4899.0,2499.0
petrol,Hyundai,Accent,3499.0,3299.0,4499.0,2499.0
petrol,Hyundai,Accent-Viva,3499.0,3299.0,4499.0,2499.0
petrol,Hyundai,Creta,3899.0,3599.0,5099.0,2699.0
petrol,Hyundai,Elantra,3899.0,3699.0,5299.0,2499.0
petrol,Hyundai,Elite-i20,3099.0,2899.0,3999.0,2399.0
petrol,Hyundai,Eon,2699.0,2499.0,3899.0,2299.0
petrol,Hyundai,Getz,2899.0,2699.0,4199.0,2499.0
petrol,Hyundai,Getz-Prime,3799.0,3599.0,5499.0,2499.0
petrol,Hyundai,Grand-i10,2699.0,2599.0,4399.0,2299.0
petrol,Hyundai,i10,2699.0,2499.0,4199.0,2299.0
petrol,Hyundai,i20 Active,3699.0,3499.0,4199.0,2399.0
petrol,Hyundai,Santa Fe,5999.0,5599.0,8899.0,2499.0
petrol,Hyundai,Santro Xing,2699.0,2599.0,4099.0,2199.0
petrol,Hyundai,Sonata,3999.0,3699.0,5799.0,2499.0
petrol,Hyundai,Sonata Embera,3899.0,3699.0,5299.0,2499.0
petrol,Hyundai,Sonata Transform,3899.0,3699.0,5299.0,2499.0
petrol,Hyundai,Verna,3599.0,3399.0,4699.0,2499.0
petrol,Hyundai,Verna Fluidic,3899.0,3699.0,5699.0,2499.0
petrol,Hyundai,Verna Transform,3699.0,3499.0,4799.0,2499.0
petrol,Hyundai,Xcent,2799.0,2699.0,4399.0,2499.0
petrol,Hyundai,Venue,3899.0,3699.0,5399.0,2699.0
petrol,Hyundai,Santro,2699.0,2599.0,4099.0,2199.0
petrol,Hyundai,Aura,2899.0,2699.0,4299.0,2299.0
petrol,Honda,Accord,4899.0,4599.0,6899.0,2599.0
petrol,Honda,Amaze,3899.0,3599.0,5499.0,2599.0
petrol,Honda,Brio,2999.0,2799.0,4799.0,2499.0
petrol,Honda,City,3999.0,3799.0,6599.0,2599.0
petrol,Honda,City i-VTEC,4099.0,3899.0,6599.0,2599.0
petrol,Honda,City ZX,3999.0,3799.0,5699.0,2499.0
petrol,Honda,Civic,4799.0,4499.0,6699.0,2799.0
petrol,Honda,Crv,5499.0,5199.0,6299.0,2799.0
petrol,Honda,Jazz,3899.0,3699.0,5699.0,2499.0
