FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
petrol,Maruti,800,2599,2899,2599,3399,2199,20000,2799
petrol,Maruti,Alto,2599,2899,2599,3899,2299,20000,2799
petrol,Maruti,Alto K10,2699,2999,2699,3499,2299,20000,2899
petrol,Maruti,A-Star,2799,3099,2799,4099,2199,22000,2999
petrol,Maruti,Baleno,2999,3299,2999,4999,2599,22000,3199
petrol,Maruti,Celerio,2799,3199,2899,4499,2299,22000,3099
petrol,Maruti,Ciaz,3399,3699,3399,4999,2499,22000,3599
petrol,Maruti,Eeco,3099,3399,3099,4299,2499,24000,3299
petrol,Maruti,Esteem,3099,3499,3199,4099,2499,22000,3399
petrol,Maruti,Ertiga,3599,3899,3599,4299,2499,20000,3799
petrol,Maruti,Estilo,2799,3099,2799,4099,2399,20000,2999
petrol,Maruti,Fronx,2999,3299,2999,4999,2599,22000,3199
petrol,Maruti,Grand Vitara,3899,4099,3799,5599,2599,22800,3999
petrol,Maruti,Gypsy,3899,4199,3899,5499,2499,20900,4099
petrol,Maruti,Kizashi,4999,5199,4899,6299,2599,20900,5099
petrol,Maruti,Omni,2799,3099,2799,3899,2399,20900,2999
petrol,Maruti,Ritz,2799,3099,2799,4299,2199,20900,2999
petrol,Maruti,S-Cross,3399,3699,3399,4599,2499,22800,3599
petrol,Maruti,Swift,2999,3299,2999,4599,2499,20900,3199
petrol,Maruti,Swift Dzire,3199,3499,3199,4599,2499,20900,3399
petrol,Maruti,SX4,3399,3699,3399,4999,2499,20900,3599
petrol,Maruti,WagonR,2599,3099,2799,3899,2299,20900,2999
petrol,Maruti,Zen,2699,3099,2799,4299,2199,20900,2999
petrol,Maruti,Vitara Brezza,3699,3999,3699,4999,2699,22800,3899
petrol,Maruti,Ignis,2799,3099,2799,4099,2499,20900,2999
petrol,Maruti,S-Presso,2799,3099,2799,4899,2499,20900,2999
petrol,Hyundai,Accent,3199,3499,3199,4499,2499,22800,3399
petrol,Hyundai,Accent-Viva,3199,3499,3199,4499,2499,24000,3399
petrol,Hyundai,Alcazar,4599,4599,4199,6999,2999,28000,4399
petrol,Hyundai,Creta,3899,4099,3799,5099,2699,25000,3999
petrol,Hyundai,Elantra,3899,4199,3899,5299,2499,26000,4099
petrol,Hyundai,Elite-i20,3199,3499,3199,3999,2399,24000,3399
petrol,Hyundai,Eon,2499,2799,2499,3899,2299,20000,2699
petrol,Hyundai,Getz,2899,3199,2899,4199,2499,20000,3099
petrol,Hyundai,Getz-Prime,2899,3199,2899,5499,2499,22000,3099
petrol,Hyundai,Grand-i10,2899,3199,2899,4399,2299,22000,3099
petrol,Hyundai,i10,2499,2799,2499,4199,2299,22000,2699
petrol,Hyundai,i20 Active,3199,3499,3199,4199,2399,24000,3399
petrol,Hyundai,Santa Fe,5999,6099,5799,8899,2499,30000,5999
petrol,Hyundai,Santro Xing,2699,2999,2699,4099,2199,20000,2899
petrol,Hyundai,Sonata,3999,4199,3899,5799,2499,27000,4099
petrol,Hyundai,Sonata Embera,3899,4199,3899,5299,2499,27000,4099
petrol,Hyundai,Sonata Transform,3899,4199,3899,5299,2499,27000,4099
petrol,Hyundai,Verna,3599,3899,3599,4699,2499,24000,3799
petrol,Hyundai,Verna Fluidic,3899,4099,3799,5699,2499,24000,3999
petrol,Hyundai,Verna Transform,3899,4099,3799,4799,2499,24000,3999
petrol,Hyundai,Xcent,2999,3299,2999,4399,2499,22000,3199
petrol,Hyundai,Venue,3399,3699,3399,5399,2699,24000,3599
petrol,Hyundai,Santro,2699,2999,2699,4099,2199,20000,2899
petrol,Hyundai,Aura,2999,3299,2999,4299,2299,22000,3199
petrol,Honda,Accord,4199,4499,4199,6899,2599,26000,4399
petrol,Honda,Amaze,3399,3699,3399,5499,2599,24000,3599
petrol,Honda,Brio,2799,3099,2799,4799,2499,20000,2999
petrol,Honda,City,3699,3899,3599,6599,2599,24000,3799
petrol,Honda,City i-VTEC,3699,3899,3599,6599,2599,25000,3799
petrol,Honda,City ZX,3699,3899,3599,5699,2499,25000,3799
